NAME	POS	R/L	Batting #	TEAM	A/H	OPP	OPP RANK	OPP RANK VAL	PITCHER	THROWS	VS PITCHER	PROP	LINE	LAST ➡️	% OVER	LYR AVG	LYR % OVER	LYR # MATCHUPS	LYR MATCHUPS	OVER	UNDER
Canaan Smith Njigba	RF	L	6	PIT	@	BOS	4th	7.33	Crawford	R		1b	0.5		0%	0.0	0%	0	0%	'+105	-140
Logan Ohoppe	C	R	9	LAA	@	SEA	28th	3.5	Kirby	R		1b	0.5	0,1,1,1	75%	0.8	80%	0	0%	'+140	-185
James Outman	CF	L	6	LAD	v	COL	12th	5.5	Feltner	R		1b	0.5	2,0,0,0,1	40%	0.75	75%	1	100%	'+175	-245
Ji Hwan Bae	2B	L	-	PIT	@	BOS	4th	7.33	Crawford	R		1b	0.5	0,0,2	33%	0.8	60%	0	0%	-120	-110
Gabriel Moreno	C	R	8	ARI	@	SD	27th	3.75	Weathers	L		1b	0.5	0,1,1,0	50%	0.83	62%	0	0%	-110	-120
Luis Arraez	2B	L	1	MIA	v	MIN	4th	7.33	Mahle	R	.400 2-5, 0 HR, 1 RBI, 0 BB, 0 SO	1b	0.5	2,2,4,1,2	100%	0.92	62%	0	0%	-195	'+145
Dj Lemahieu	2B	R	1	NYY	v	PHI	15th	5.0	Walker	R	.226 7-31, 0 HR, 2 RBI, 5 BB, 6 SO	1b	0.5	2,1,1	100%	0.74	54%	0	0%	-160	'+120
Whit Merrifield	2B	R	-	TOR	@	KC	30th	2.0	Singer	R		1b	0.5	1,0	50%	0.62	47%	0	0%	-140	'+105
Jean Segura	3B	R	6	MIA	v	MIN	4th	7.33	Mahle	R	.000 0-5, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	0,1,0,0	25%	0.81	59%	0	0%	-130	-105
Trea Turner	SS	R	1	PHI	@	NYY	14th	5.33	Cortes	L		1b	0.5	2,2,2,1	100%	0.81	61%	0	0%	-135	'+100
